,question,answer,url,label
21730,고양이가 많이 안좋아요 얼마전 박스덤이에서 고양이 한마리를 주워왔습니다 태어난지 약20일정도 되어보이는데 그제까지 분유를 먹이다가 어제부터 사료를 살짝 아주 조금 먹여서그런지 울고 활동량도 줄고 설사를 합니다, 어린아이를 키우는 것은 참 어려운 일입니다. 설사를 한다고 하니 전염성 장염의 가능성이 있어 보여 특히 더 걱정이 됩니다. 일단 장염이 아니라는 가정하에 한달만에 분유를 끊고 사료로 변경하셨다고 하셨는데 혹시 한번에 바꾸신건 아닌지요? 조금 더 분유를 먹이시는 것이 좋지 않을까 생각이 됩니다. 그리고 사료로 전환시에 사료가 딱딱하여 먹기 쉽지 않을 수 있어 물이나 분유에 불려주시면 더 좋을 것 같습니다. 울고 활동량이 줄어든 것은 배고파서일 수도 있지만 설사까지 동반한다면 아퍼서 그렇수도 있습니다.  우선적으로 병원에 내원하셔서 전염병장염에 대한 검사를 해보시길 추천드립니다. 검사 후 이상이 없다면 급식방법를 조금 조절하셔서 충분한 영양공급이 될 수 있게 해주시면서 사료에 잘 적응하는지 지켜보시길 바라겠습니다.,"https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80511&docId=233009805
",고양이/소화기질환/설사
7651,"오늘 산책을 갔다와서 다리에 이상이 생겼습니다 대형견이고, 오늘 낮에 산책을 갔다와서 다리에 이상이 생겼습니다  정말 신나게 한참 뛰어다녔는데 돌아오니 좀 이상했어요  아픈 다리를 들고 삔 것처럼 절뚝거려요  병원은 바로 갔다왔고 엑스레이를 찍어본 결과 뼈에는 아무 이상없었습니다  근육이 놀랐거나 발톱이 많이 갈려서 아픈것 같다하셨고  1~2일정도 외출을 삼가고 경과를 지켜보라더라구요  그런데 지금은 더 절뚝거리고 걷질않으려해요  아픈다리를 위로 든 채로, 같은자세로 계속 잠만 잡니다.  이미 1~2시간 전쯤 배변하려 일어나는시간인데 계속 잠만 자요  발바닥에 뭐가 있는지 한번 살펴볼까요?  환부 만지지말까요? 맛사지도 하지말까요?  만지면 소리내거나 발 빼지는 않는데 긴장은 합니다  어쩌면 좋죠? 그냥 이대로 잠자게 둘까요?  아무것도 할 줄 아는게 없는 제가 싫고 대신 아팠으면 좋겠다는 답답함뿐이예요 꼭 답변 부탁드립니다  오늘 내원한 병원장님 말씀을 못 믿는건 아니지만 너무 절뚝대서...울고싶어요  이런경우가 또 있었나요? 부목을 대거나 하진말까요?  혼자힘으로는 눕는것도 안하려해요...","발바닥에 뭐가 있는지 한번 살펴볼까요? - 수의사가 발견하지 못한 외상    특히, 발바닥 패드쪽 외상은 환자가 보호자님께 협조적인 경우가 많습니다.   유심히 살펴봐주실 것을 당부드립니다.  환부 만지지말까요? 맛사지도 하지말까요? - 환부에 대한 국소화가 필요합니다.   어디가 어떻게 아픈지 정확하게 모르는 상황에서 만지거나 / 맛사지를 하실 경우   환부의 염증 / 감염 등이 악화될 수 있습니다.  만지면 소리내거나 발 빼지는 않는데 긴장은 합니다 - 긴장정도가 강하다면, 근골격계 문제와 신경계 문제를 동시에 의심해 볼 수 있습니다.  어쩌면 좋죠? 그냥 이대로 잠자게 둘까요? - 제가 만약 보호자님이라면 인근 동물병원보다    대형 동물병원 또는 24시간 응급 및 입원처치가 가능한 동물병원을 알아보겠습니다. - 그 이유는 15kg 이상의 중대형견일 경우, 방사선 촬영자체가 불완전합니다.   또한 정확한 근골격계 신체검사 / 신경계 신경검사가 불가능합니다.   즉, 환자의 병변 국소화가 불가능합니다.    스텝이 적어도 3-4명 이상이 필요하며, 일반 현상 방사선으로 환자를 촬영하는데 소요되는 시간이 너무 깁니다.   DR 촬영이 가능하고, 중대형견의 움직임을 원활하게 제어할 수 있는    충분한 스텝이 있는 병원으로 가셔야 합니다.   결론, 1. 환자의 병적 상황은 대퇴골두 부분탈구 / 완전탈구 / 골절                              슬개골 탈구                               전십자인대 파열                              사지골절                              신경계 질환 (IVDD)     제 임상경험상, 확률이 높고 가장 의심되는 질환만 적어봤습니다. 2. 중대형견에 대해 위의 질환 진단은,    스텝구성이 많고, DR 촬영이 가능한 동물병원에서 원활하게 할 수 있습니다. 3. 환자의 통증 및 스트레스가 심하다면, 24시간 입원처치가 가능한 동물병원에서    진통 및 소염처치를 반드시 받으셔야 합니다. 4. 진단이 제대로 확인되지 않은 상태에서    근거없는 재활치료나 보행운동은 환자에게 치명적일 수 있고 악화될 가능성만 높아집니다.  큰 문제없이 빠르고 정확한 진단으로 환자에게 가장 효과적인 처치가 이뤄질 수 있기를 기원합니다. 걱정만 한다고 해결될 문제는 아닙니다. 늦지않게 바른 선택을 하실 수 있기를 ....  안녕히 계세요","https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80511&docId=264221635
",강아지/다리질환/미정
5616,강아지 예방접종 후 밥을 안먹어요 강아지가 예방접종 후에 밥을 잘 만먹어요 ㅠㅠ 어떠하죠 ㅠㅠ,"방접종을 한지 24시간 이전이라면, 기운을 차릴 수 있도록 잘 돌봐주시구요. 조금만 더 기다려 주세요. 하지만, 2일이상 식욕이 떨어진 상황이고,  얼굴주위 발적, 발열증후, 설사 / 구토 / 기침, 통증 등이 확인된다면 최대한 빨리 인근 동물병원 수의사 선생님과 진료상담을 해보셔야 합니다. 예방접종 후, 사망하는 사례는 드물지만 아이들에 따라서 후유증이 심한 아이들이 더러 있습니다. 걱정되신다면 지금이라도 빨리 병원에 데려가보시는게 추천되구요. 감사합니다. 안녕히 계세요.","https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80511&docId=354680595
",강아지/예방접종/식욕저하
21346,중성화수술 이후 넥칼라 찼던 것 처럼 귀가 모였습니다. ㅠㅠㅠ닥스훈트 중성화 시키고 이제 실밥이랑 다 풀었습니다. 근데 귀가 넥칼라 찬 것 처럼 아직도 모여있네요. 시간이 지나면 다시 원래대로 돌아오나요?  중성화수술 이후 넥칼라 찼던 것 처럼 귀가 모였습니다. 재생 34 00:00 00:17, 올려 주신 동영상 잘 확인했습니다 넥칼라에 눌려 연골이 접힌 것으로 의심 됩니다 그냥 두시는 것 보다는 테이핑을 부탁하셔서 귀 연골이 설 수 있게 해주시는 것이 좋을 것 같습니다 제 답변이 도움이 되셨길 바랍니다,"https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80511&docId=241698883
",강아지/귀/염증
1781,안녕하세요 작년 3월에 처음발견했어요 오른쪽뒷다리 뼈있는쪽에 아주작게 하얗게 ᆢ 핧거나아프거나하지않아쭉지켜만보았어요 일년사이 조금커져서 딱딱하거 안녕하세요 작년 3월에 처음발견했어요 오른쪽뒷다리 뼈있는쪽에  아주작게 하얗게 ᆢ 핧거나아프거나하지않아쭉지켜만보았어요 일년사이 조금커져서 딱딱하거나 종괴 여드름은확실히아닌거같아요ᆢ혹시 이게 피지샘종 일까요?굉장히 보들보들해요 그냥놔두면안되겠죠?,사진만으로 판단하기에는 제한적이고 어려운 부분이 있습니다. 사진으로 유추하면 유두종일 가능성이 높아 보입니다. 방치하게 되면 크기가 커지고 염증을 동반하여 상황은 더욱 악화될 수 있습니다. 병원에서 정확한 진단과 적절한 처치 받아보시길 권해드립니다.,"https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80511&docId=348246419
",강아지/피부질환/피지샘종
6732,강아지 거위소리와 켁켁거림 안녕하세요 3살된 골든리트리버 견주입니다. 얼마전부터 가끔씩 켁켁거리거나 거위소리를 낼때가 있고 침삼키거나 할때 목에서 잡음같은게 나는 경우가 있어 걱정되서 이렇게 여쭤보게 되었어요 방금은 켁켁거리고 거위소리를 내더니 바닥에 빠져있는 자기 털을 핥아서 먹더라구요.... 왜그런지... 인터넷 찾아보니 소형견의 경우엔 기관협착증일때 이런 증상을 보일 수 있다는데 저희 개는 35kg정도 나가는 대형견이라서 저희 개도 그럴가능성이 있는건지.. 조만간 병원엔 데리고 가볼 계획인데 일단 지식인 수의사 분들의 말씀을 들어보고자 글을 먼저 올립니다. 감사합니다.,"증상만 놓고 보면 글쓴님의 말씀처럼 기관허탈을 의심해 볼 수 있는 상황입니다. 일단 인근 동물병원 수의사 선생님과 진료상담을 받아보실 것을 추천드립니다. - 청진을 포함한 신체검사 - 흉부 방사선 촬영 - 심장 초음파 검사 (DCM일 경우 감별력이 높습니다.) 아마 위의 검사들을 추천할 것입니다.  먼저 아이의 전염병 관련 백신접종 여부를 먼저 확인해 주세요. - 홍역 - 강아지 인플루엔자 - 켄넬코프 - 심장사상충 감염 이 모든 것들이 제대로 진행되었다면 큰 문제는 없을 것입니다. 간이 진단 키트검사 또는 RT- PCR 검사를 통해 감별 가능합니다.  확률상,  리트리버라면 전염성 질환의 감염으로 내원하는 사례가 더 높은 듯합니다. 하지만, 상부 호흡기 및 심장관련 환자들도 심심치 않게 있으므로  이에관련하여 포괄적이고 다양한 검사들이 지시될 수 있습니다.  환자가 대형견이므로 위의 검사들이 원활히 진행될 수 있도록 진료예약을 하셔야 할겁니다. 또는 거주지역기반의 대형 동물병원을 검색해 보시고 방문하시면 편하게 진료상담이 가능할 것입니다.  큰 문제없이 빠르고 정확한 진단과 효과적인 처치를 통해 근심이 해결될 수 있기를 기원합니다. 감사합니다. 안녕히 계세요","https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80511&docId=288564638
",강아지/호흡기질환/기관협착증
1694,강아지 다리 절음과 발바닥 핥음. 강아지가 산책가기 전까지는 안그랬는데 다녀와서 한쪽 뒷다리를 절고 발바닥을 핥아요. 발바닥만 핥아요 ㅠㅠ 어떻게 해야 하죠? 5살된 말티즈에요 ㅠ,상황만으로 판단하기에는 제한적이고 어려운 부분이 있습니다. 일반적으로 산책 후 발을 핥는 경우 발바닥 상처나 뾰족한 이물질이 원인일 가능성이 높습니다. 상황이 지속된다면 병원에서 정확한 진단과 적절한 처치 받아보시길 권해드립니다.,"https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80511&docId=351909043
",강아지/해부학적 질환/다리 절음
1203,강아지 스케일링이 시급한 정도인가요? 애기 치아 상태가 궁금해서 문의드려요 ,"현재 상황에서 무엇보다 중요한 것은 치석제거입니다. 치석이 존재하는 상황에서 내과적인 처치나 양치의 효과는 제한적이고 기대하기 어렵습니다. 치석은 구강뿐 아니라 심장을 비롯해 간, 신장, 췌장과 같은 실질장기에도 영향을 미쳐 기능을 떨어뜨려 건강을 더욱 악화시킵니다. 신속히 병원에서 적절한 처치 받아보시길 권해드립니다.","https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80511&docId=367564253
",강아지/구강질환/스케일링
16269,새끼 고양이 설사 아기고양이..(생명이 위급) 제가 정말 미련하게도. 예전에 사둔 성인용 고양이 구충제를  아기 분유 에 타서  1달도 안됀 고양이 한테 급여했습니다..  그랬더니 아기고양이는 흰색이랑 노란 색이 섞인 설사를 하고요...  지금은 숨을 쌕쌕 쉬고 기운이없고 밥도 못먹습니다..  어떻게해야하나요ㅡ..  동물병원도 지금 못가는 상황인데..,"지금 집에서는 수액을 못놓기 때문에 수분공급을 직접하셔야 됩니다. 탈수오지 않게 물공급 잘해주시고, 저혈당 올수도 있으니 시간맞춰 고양이분유 따뜻한 물에 타서 최대한 먹여주세요. 날 밝으면 동물병원 데리고 가시길 권장해드립니다. 감사합니다.","https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80511&docId=287305778
",고양이/내장질환/설사
20842,"성묘 예방접종 정말 필요하나요 저희집 고양이는 지금 거의 두살이고 중성화된 여아입니다. 입양 후 첫해에는 예방접종을 다 했고 중성화 수술 이후에는 별로 병원에 갈 일이 없어서, 예방접종을 한번도 안 했어요.  가끔 헤어볼을 토하는 거 말고는 건강에 이상은 없는거 같아요  어떤 사람들은 성묘는 예방 접종이 필요없다고도 하고, 일본이나 선진국 대비 우리나라 반려동물의 백신 접종율이 너무 높다고도 하던데... 누구 말이 맞는지 궁금하고, 정말 접종이 필요한 지 궁금해서 수의사 선생님께 문의드립니다.  "," 질문하신 내용 잘 보았습니다. 예방접종은 생명에 치명적인 전염병을 막아주는 역할을 합니다. 예방접종을 하면 몸에 항체라는 면역물질이 생겨서 병원체가 몸에 들어오면 싸우서 물리치게 됩니다. 이 항체는 어려서 예방접종을 했다(기초접종이라고 함)고해서 그 효과가 계속 유지되는게 아닙니다. 그래서 항체 효과가 떨어질 즈음에 다시 접종을 하게 됩니다. 이것을 추가접종이라고 합니다. 추가접종은 보통 1년에 1회 접종을 하지만, 최근에는 항체 검사를 실시해서 항체 역가가 낮은 경우(전염병을 예방할 수준 이하의 역가)에만 접종을 하기도 합니다. 고양이는 보통 집에만 있어서 전염병에 노출될 가능성이 낮기는 하지만, 가족들의 신발, 옷 등을 통해병원체가 전염될 수도 있고, 공기중으로 감염될 수도 있기 때문에 추가접종은 반드시 해야 합니다. 백신 접종율을 보면, 우리 나라는 일본 미국에 비해 접종율이 매우 낮은 수준입니다. 두 나라에 비해 전염병 발생율도 높습니다. 도움이 되셨길 바랍니다. 감사합니다.","https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80511&docId=211470426
",고양이/예방접종/성묘
